0.0 0.0	0 0
2.84 0.0241819	1.30724e-92 0.0241819
2.85 0.0247689	2.32254e-91 0.0247689
2.86 0.02542558	4.04522e-90 0.0254256
2.87 0.02608226	6.90709e-89 0.0260823
2.88 0.02673894	1.15617e-87 0.0267389
2.8899999999999997 0.02739562	1.89724e-86 0.0273956
2.9 0.0280523	3.05209e-85 0.0280523
2.9099999999999997 0.02879994	4.81336e-84 0.0287999
2.92 0.02954758	7.44174e-83 0.0295476
2.9299999999999997 0.030295219999999998	1.12791e-81 0.0302952
2.94 0.03104286	1.67593e-80 0.0310429
2.95 0.0317905	2.44124e-79 0.0317905
2.96 0.03262998	3.48613e-78 0.03263
2.9699999999999998 0.03346946	4.88039e-77 0.0334695
2.98 0.03430894	6.69799e-76 0.0343089
2.99 0.03514842	9.01183e-75 0.0351484
3.0 0.0359879	1.18867e-73 0.0359879
3.01 0.03686198	1.53706e-72 0.036862
3.0199999999999996 0.03773606	1.9485e-71 0.0377361
3.03 0.03861014	2.42154e-70 0.0386101
3.04 0.03948422	2.95029e-69 0.0394842
3.05 0.0403583	3.52388e-68 0.0403583
3.0599999999999996 0.0412208	4.12629e-67 0.0412208
3.07 0.0420833	4.73678e-66 0.0420833
3.08 0.0429458	5.33077e-65 0.0429458
3.09 0.043808299999999994	5.88143e-64 0.0438083
3.1 0.0446708	6.36152e-63 0.0446708
3.11 0.045537919999999996	6.74568e-62 0.0455379
3.12 0.046405039999999995	7.01257e-61 0.046405
3.13 0.04727216	7.14689e-60 0.0472722
3.1399999999999997 0.04813928	7.14077e-59 0.0481393
3.15 0.0490064	6.99459e-58 0.0490064
3.1599999999999997 0.04992764	6.71691e-57 0.0499276
3.17 0.05084888	6.32365e-56 0.0508489
3.1799999999999997 0.05177012	5.83656e-55 0.0517701
3.19 0.05269136	5.28127e-54 0.0526914
3.2 0.0536126	4.68504e-53 0.0536126
3.21 0.054674600000000004	4.07457e-52 0.0546746
3.2199999999999998 0.055736600000000004	3.47412e-51 0.0557366
3.23 0.0567986	2.90404e-50 0.0567986
3.24 0.0578606	2.37989e-49 0.0578606
3.25 0.0589226	1.91209e-48 0.0589226
3.26 0.06020522	1.50612e-47 0.0602052
3.2699999999999996 0.061487839999999995	1.16308e-46 0.0614878
3.28 0.06277046	8.80557e-46 0.0627705
3.29 0.06405308	6.53593e-45 0.0640531
3.3 0.0653357	4.75619e-44 0.0653357
3.3099999999999996 0.06680401999999999	3.39323e-43 0.066804
3.32 0.06827234	2.37341e-42 0.0682723
3.33 0.06974066	1.62756e-41 0.0697407
3.34 0.07120898	1.09422e-40 0.071209
3.35 0.0726773	7.21244e-40 0.0726773
3.36 0.07423618	4.66088e-39 0.0742362
3.37 0.07579506	2.95299e-38 0.0757951
3.38 0.07735394	1.83429e-37 0.0773539
3.3899999999999997 0.07891282	1.11708e-36 0.0789128
3.4 0.0804717	6.66983e-36 0.0804717
3.4099999999999997 0.08207402	3.90445e-35 0.082074
3.42 0.08367634	2.24089e-34 0.0836763
3.4299999999999997 0.08527865999999999	1.26095e-33 0.0852787
3.44 0.08688098	6.95657e-33 0.086881
3.45 0.0884833	3.76281e-32 0.0884833
3.46 0.09011334	1.99549e-31 0.0901133
3.4699999999999998 0.09174338	1.03756e-30 0.0917434
3.48 0.09337342	5.2893e-30 0.0933734
3.49 0.09500346	2.6437e-29 0.0950035
3.5 0.0966335	1.29555e-28 0.0966335
3.51 0.0983496	6.22478e-28 0.0983496
3.5199999999999996 0.1000657	2.93242e-27 0.100066
3.53 0.1017818	1.35445e-26 0.101782
3.54 0.1034979	6.13389e-26 0.103498
3.55 0.105214	2.72362e-25 0.105214
3.5599999999999996 0.1071834	1.18576e-24 0.107183
3.57 0.1091528	5.06162e-24 0.109153
3.58 0.1111222	2.11849e-23 0.111122
3.59 0.1130916	8.69381e-23 0.113092
3.6 0.115061	3.49819e-22 0.115061
3.61 0.117424	1.38016e-21 0.117424
3.62 0.11978699999999999	5.33909e-21 0.119787
3.63 0.12215	2.02518e-20 0.12215
3.6399999999999997 0.12451299999999998	7.53219e-20 0.124513
3.65 0.126876	2.74689e-19 0.126876
3.6599999999999997 0.1296482	9.82263e-19 0.129648
3.67 0.1324204	3.44417e-18 0.13242
3.6799999999999997 0.1351926	1.18417e-17 0.135193
3.69 0.1379648	3.99227e-17 0.137965
3.7 0.140737	1.3198e-16 0.140737
